제목,본문,답변
명도소송 문의드립니다,"안녕하세요
저희 서울집의 반지하 사람이 쓰레기와 오물 집기 이런것들을 내려가는 계단과 집 내외부에 산더미처럼 쌓아놓아서 집을 쓰레기장으로 만들어놨습니다.. 이런지는 2년이상 된걸로 알구요..

그래서 지금 이사람을 내보내려고 명도소송을 하고 있는데..

1,2차 내용증명은 예전에 보낼때 작성해놓은 법무사 양식으로 보내놨는데요..
마지막 3차 내용증명을 보내야 되는데

집행비용( 인력이 가서 쓰레기 집기 오물 가재도구 전부 끄집어 내는 인력비용
오물 쓰레기로 인한 집 내외부 손상 수리비용, 도배 장판 비용, 보일러도 망가뜨렸는데 이거 교체비용)이걸 나갈때 보증금에서 차감한다는 내용을 첨부 해서 보내면 될지 문의드립니다..
변호사님이나 법무사님 내용증명 진행해보신분들 문의좀 드릴게요..

그리고 끄집어내는 집행비용있잖아요..
이건 개인이 하려고 하면 어디다 부탁드리면 될지.. 좀 문의드리구요..
안되면 어떻게 해야 되는지도 문의드립니다
꼭 좀 부탁드립니다..ㅠㅠ
집을 쓰레기장으로 만들어놓아서..지금 내보내야 될 상황입니다..
계단까지 전부 쓰레기로 뒤덮은 상황입니다..
엄청 더럽고 쓰레기장으로 만들었습니다.. 외부까지요..","안녕하세요. 로시컴-네이버 지식iN 상담변호사 김기윤 입니다.
임차인이 임대차 목적물을 쓰레기장으로 만들어서 걱정이 많을 것으로 보입니다. 
먼저 임대인이 임차인과 계약해지가 가능한지 확인이 필요합니다.
주택임대차보호법에 의하면 임대인이 임대차기간이 끝나기 6개월 전부터 2개월(계약일에 따라 6개월 전부터 1개월 전까지) 전까지의 기간에 임차인에게 갱신거절의 통지를 해야 합니다.
또한 계약갱신 거절 가능 사유에는 임차인이 임차인으로서의 의무를 현저히 위반하거나 임대차를 계속하기 어려운 중대한 사유가 있는 경우에 계약갱신을 거절할 사유로 명시하고 있습니다.
그런데 임대인이 임차인에게 내용증명을 보냈음에도 불구하고 임차인이 이에 대하여 대응을하지 않고 무시로 일관한다면 임대인은 민사소송으로 명도소송을 제기할 수 밖에 없습니다.
다만, 명도소송시 상대방이 점유를 제3자에게 이전한다면 기존의 명도소송은 실익이 없게 되므로 명도소송과 동시에 부동산점유이전금지가처분을 해야 합니다.
이후 명도소장을 받은 임차인과 합의하에 내보내거나 또는 명도소송 판결문으로 명도집행을 해야합니다.
명도 집행 비용은 원고가 먼저 집행비용을 지출하고 상대방에게 청구해야 합니다.
자세한 상담은 전화주세요, 부동산전문변호사입니다."
소액거래? 사기,"밑에 요약 있어요

안녕하세요. 다름이 아니고 소액거래? 사기에 관해서 문제가 있어서 질문드립니다. 저는 현재 만 17세인 법정대리인이 존재하는 청소년입니다. 제가 사실 '갑'이라는 가명의 친구에게 130만원 가량의 소액을 빌려주었습니다. 차용증으로 작성을 하였고요 이유는 생활비였습니다. '갑'은 저와 같은 나이에다 본인이 진술하기로는 집에서 쫓겨난 상황이였기 때문이죠. 친구 '갑'은 제가 빌려준 돈 130만원을 본인이 하고있는 아르바이트를 통해 상환하겠다고 차용증에는 명시하지 않았으나 구두로, 혹은 카톡으로 '월급날 꽃아준다' 같은 말로 약속을 하였습니다. 그러면서 본인이 하고있는 아르바이트 2 곳을 소개해주었죠. 뭐 더 사정이 있긴합니다만 어찌되었든 그 친구가 했던 말이 모두 거짓말이었다는 것입니다. 쫒겨나지도 않았거니와 생활비는 커녕 그저 PC방에 갈 돈이 필요했던것이었습니다. 그리하여 저와, '갑'에게 10만원 이하의 소액을 빌려준 여타 친구들은 '갑'의 법정대리인(부모)을 만나러 가서 상환을 청구하였으나 거부당했습니다. 다만 '갑'의 법정대리인은 '갑은 130만원을 상환할 능력이 존재하지 않으며, 갑이 성장 한 후 차근차근 갚을것이다. 더불어 본인은 갑이 주장하는 모든 상황에 대하여 알지도 못하였다.' 어이가 없었으나 이어서 하는말은 '갑은 게임 중독이다, PC방에 너무 자주가니 너희들(작성자 본인과 더불어 여타 친구)이 잘 이끌어주길 바란다 공부해서 미래에 갚도록 하겠다. 너(작성자 본인)에게는 미리 10만원을 주겠다.' 라고 말하였습니다. 정말 멍청하게도 그때당시 경황이 없던지라 저는 10만원을 미리 받고 '갑'에 대한 학업에 대해 조력해주기로 약속했습니다. 물론, 정작 중요한 상환방법이라던가, 제 돈에 관한 말은 일절 없었습니다. 그때는 이미 상환기간이 지난 상황에서 벌어진 대면이었습니다

여기서 물어보고 싶은 점은, 제가 정말 병신같이 미리 10만원을 받음으로써 채무자의 채무변재의지가 존재한다는것으로 여겨짐에 따라 제가 고소를 못하는 상황인가요? 또, 채무자 '갑'이 본인이 주장한 상환방법과 차용증에 명시된 이용목적이 거짓말로 드러난 상황에서 사기죄로 고소할수있는 상황인가요? 만약 두 가지 모두 참이라면 어느것이 더 우선되나요?

1. 채무자 채권자 모두 법정대리인이 존재하는 만 17세
2. 양측 130만원의 채무관계가 존재
3. 채무자가 주장한 채무 상환방법과 이용목적이 모두 거짓이었음이 드러남
4. 채권자가 법정대리인에게 미리 10만원을 받았으나 향후 상환 계획에 대해서는 합의한적 일절 없음(구두로 '몇년이 걸쳐도 나는 받아들일수 있다' 정도의 발언만 함)

결론 - 고소 가능? 불가능?, 가능할 시 승소 여부

참고 - 차용증 기반으로 이자 없음, 법정대리인이 작성자 본인과 '갑'과의 130만원가량 채무관계를 인정하는 취지의 카톡 내용 있음, '갑'에 대한 10만원 이하의 차용증서 미작성 채무관계가 여럿 존재-(법정대리인은 이를 인지하고있음에도 별다른 대처를 안함)","안녕하세요. 로시컴-네이버 지식iN 상담변호사 김기윤 입니다.
사기죄는 타인을 기망하여 착오를 발생케 하고 그 착오에 기하여 재물의 교부 기타의 재산적 처분행위를 하게 함으로써 재물을 취득하거나 재산상의 불법의 이익을 취득하는 죄입니다. 
<조문>
- 형법 제347조(사기) ① 사람을 기망하여 재물의 교부를 받거나 재산상의 이익을 취득한 자는 10년 이하의 징역 또는 2천만원 이하의 벌금에 처한다. <개정 1995.12.29>
②전항의 방법으로 제삼자로 하여금 재물의 교부를 받게 하거나 재산상의 이익을 취득하게 한 때에도 전항의 형과 같다.
<사기죄 중요판례>
- 판례에서 '기망으로 인한 재물의 교부가 있으면, 그 자체로써 곧 사기죄는 성립하고, 상당한 대가가 지급되었다거나 피해자의 전체 재산상에 손해가 없다고 하여도 사기죄의 성립에는 영향이 없다. 라고 판시하고 있습니다. 
- 판례에서 '사기죄의 주관적 구성요건인 편취의 범의는 피고인이 자백하지 않는 이상 범행 전후의 피고인의 재력, 환경, 범행의 내용, 거래의 이행과정 등과 같은 객관적인 사정 등을 종합하여 판단할 수밖에 없다. 라고 판시하고 있습니다.
<차용사기판례>
법원은 차용사기와 관련하여 '민사상 금전대차관계에서 그 채무불이행 사실을 가지고 바로 차용금 편취의 범의를 인정할 수 없으나 피고인이 확실한 변제의 의사가 없거나 또는 차용시 약속한 변제기일내에 변제할 능력이 없음에도 불구하고 변제할 것처럼 가장하여 금원을 차용한 경우에는 편취의 범의를 인정할 수 있다.' 고 판단하였습니다.
형사소송대리, 소송진행, 서면작성에 대하여 혼자서 진행하기 어렵다면 변호사의 도움을 받아보세요.
구체적인 내용은 상담을 받아보시길 바랍니다.
좋은 인연이 되었으면 합니다. 
감사합니다.
김기윤 법률사무소<사법고시출신 형사전문>
서울 서초구 반포대로30길 57, 우정빌딩 2층
<형사전문변호사카카오톡상담>
김기윤변호사
카카오톡 채팅을 해보세요.
pf.kakao.com
<형사전문변호사등록>
[형사전문변호사] 김기윤 변호사의 '형사법' 전문 등록
안녕하세요. '형사전문변호사 김기윤변호사'입니다. 대한변호사협회에서 형사법 전문 변호사로 ...
blog.naver.com
<형사전문변호사성공사례>
[형사전문변호사] 김기윤 변호사의 형사사건 성공사례
대한변호사협회가 인정한 형사전문변호사의 성공사례 안녕하세요. 대한변호사협회에서 인정한 '형사전...
blog.naver.com"
민사소송하는법,"휴대폰 사기로 고소를 진행 했었습니다.
2020/2/4 날짜로 법원에서 판결문이 나왔고 징역 10월나 처한다고 나왔던데 이걸 민사를 걸어서 돈을 받아내야 되는 상황인데
1.지금까지 상대방이 일했던 대리점 사장님이 돈을 내주고 있던상황입니다 이런경우에도 대리점 사장님 돈 까지 받아 낼수있나요?
2.고소를 하려면 어디로 가야 되며 준비물은 뭐뭐가 필요한가요?
3.만약 시간이 없어서 변호사분을 고용한다든가 하면 비용은 어찌 되나요?
대충 저사건으로 인해 사용 금액이 500정도 될거같은대 도움 좀 부탁 드리겠습니다","안녕하세요. 로시컴-네이버 지식iN 상담변호사 김기윤 입니다.
1.지금까지 상대방이 일했던 대리점 사장님이 돈을 내주고 있던상황입니다 이런경우에도 대리점 사장님 돈 까지 받아 낼수있나요?
A. 질문자와 대리점 사장님이 같이 지급명령을 신청해야할 사안으로 보입니다.
독촉절차에 있어서 채권자의 청구의 취지에 일치하는 목적물의 지급을 명하는 내용의 재판을 말합니다. 금전 기타의 대체물이나 유가증권의 일정수량의 지급을 목적으로 하는 청구에 대하여, 법원은 채권자의 일방적인 신청이 있으면 채무자를 심문하지 않고 채무자에게 그 지급을 명하는 재판인 지급명령을 할 수 있습니다(민사소송법 462조).
지급명령신청의 장점은 비용절감과 시간단축으로 볼 수 있습니다. 서류심사로 진행되기 때문에 판결기간이 짧고(1~2개월) 법원출석이 필요없기 때문에 신속한 분쟁 해결이 가능합니다.
2. 고소를 하려면 어디로 가야 되며 준비물은 뭐뭐가 필요한가요?
A. 채무자의 관할지 법원에 지급명령신청서와 증거자료를 제출하는게 좋겠습니다.
3.만약 시간이 없어서 변호사분을 고용한다든가 하면 비용은 어찌 되나요?
A. 금액이 소액에 해당하여 변호사를 선임하기에는 실익이 없으므로 지급명령 작성대행을 의뢰하는게 좋겠습니다.
연락주시면 자세히 상담해드리겠습니다.
소송대리, 소송진행, 서면작성에 대하여 혼자서 진행하기 어렵다면 변호사의 도움을 받아보세요.
구체적인 내용은 상담을 받아보시길 바랍니다.
좋은 인연이 되었으면 합니다. 
감사합니다.
김기윤 법률사무소<사법고시출신>
서울 서초구 반포대로30길 57, 우정빌딩 2층
전화상담 02-522-2218 (클릭)"
대리해주실 변호사님을 모십니다.,"1) 항소심에 도움주실 변호사님을 원합니다.
2) 액수는 3,000,000원으로 한정할수 밖에 없으니 양햐 바랍니다.
3) 010 9999  5928로 연락주시면 감사하게씁니다.
4) 간단한 사항은 소송가는 42,000,000원 짜리 항소심입니다.
5) 이번달에 계시되는 소송입니다.
6) 좀 급한건이니 소속한 시일내 연락부탁드립니다.","안녕하세요. 로시컴-네이버 지식iN 상담변호사 김기윤 입니다.
송대리, 소송진행, 서면작성에 대하여 혼자서 진행하기 어렵다면 변호사의 도움을 받아보세요.
구체적인 내용은 상담을 받아보시길 바랍니다.
좋은 인연이 되었으면 합니다. 
감사합니다.
김기윤 법률사무소<사법고시출신>
서울 서초구 반포대로30길 57, 우정빌딩 2층
전화상담 02-522-2218 (클릭)"
외국인에게 돈을 빌려주고 못 받고 잇습니다,"같은회사 외국인 노동자에게

6월 말에 소액을 빌려주고 7월 초에 돈을 좀더 크게 빌려주고 난후에 돈을 갚으라고 하니까 

여러가지 잡다한 이유를 대면서 돈을 안 갚고잇습니다

10월달즘에 본국으로 귀국 하는대 그전까지 버틸 예정으로 보여서 소액민사소송을 걸려고 하는대

외국인도 소액민사소송이 가능한지 또 소액민사소송으로 인해서 출국정지 신청이 가능한지 알고 싶습니다.","안녕하세요. 로시컴-네이버 지식iN 상담변호사 김기윤 입니다.
A. 외국인에게도 소액심판청구를 하실 수 있으시나 이를 이유로 출국정지가처분신청은 불가 할 것을 보입니다.
다만, 변제능력이나 변제의사 없이 돈을 대여받는 경우에는 사기죄가 성립하므로 사기죄로 형사고소하셔서 출국금지 가처분 신청을 하실 수는 있을 것을 보입니다.
구체적인 것은 문의주셔서 자세한 상담 받아보시길 권해드립니다. 추가로 문의가 필요하시면 연락주세요. 자세히 상담해드리겠습니다. 
https://blog.naver.com/hopelawpasan/222377220296
[형사전문변호사] 김기윤 변호사의 형사사건 성공사례
대한변호사협회가 인정한 형사전문변호사의 성공사례 안녕하세요. 대한변호사협회에서 인정한 '형사전...
blog.naver.com"
235만원 횡령 민사소송,"저희 할아버지가 어떤 외국 여자랑 연락를 하다가 그 여자의 부탁으로 피해자한테 235만원을 입금받아 여자한테 전달을 해주는 일을 했습니다

할아버지는 그게 사기인지 몰랐는데, 피해자는 입금 후에 '로맨스스캠'이라는 것을 알았는지 은행을 통해 반환요구를 했지만 할아버지는 이미 여자에게 송금한 후였습니다

할아버지는 그 여자에게 돈을 돌려달라고 계속 얘기했지만 그 여자는 무시했습니다

위 내용 모두 경찰한테 설명했고 벌금 200만원이 나왔습니다

1. 정식재판을 청구해서 할아버지가 사기인지 몰랐다는 내용을 증명하면 벌금이 줄어들까요?

2. 피해자가 민사소송을 한다면 그 여자가 아닌 저희 할아버지에게 하는 건가요?

3. 민사소송이 걸리게 된다면 할아버지는 최대 어느 정도까지 배상을 해야 하나요? 235만원 + @일 거 같은데 그 @가 대충 어느 정도로 나올지..","안녕하세요. 로시컴-네이버 지식iN 상담변호사 김기윤 입니다.
A. 사기죄의 방조범이 문제되는 사안으로 보입니다. 방조범 또한 정범에 대한 방조의 고의가 없다면 죄는 성립하지 않습니다. 할아버님께서 외국여자의 사기행위를 방조할 고의가 없으시다면 무죄주장이 가능합니다.
위 형사소송에서 무죄판결을 받으실 경우라면 할아버님께 민사소송은 인용되지 않을 수 있습니다. 최종적으로 피해액의 귀속이 할아버님께 없는 상황이고 불법행위 또한 인정되지 않을 것이기 때문입니다. 
정식재판청구를 하지않아 유죄판결을 받게 된다면 경우에 따라 피해액을 포함하여 위자료부분에 대해서도 청구를 받으실 수 있습니다. 변호인의 조력을 받아 정식재판청구를 하셔서 형사소송에서부터 대응을 하시는 것이 좋아보입니다.
구체적인 것은 문의주셔서 자세한 상담 받아보시길 권해드립니다. 추가로 문의가 필요하시면 연락주세요. 자세히 상담해드리겠습니다. 
https://blog.naver.com/hopelawpasan/222377220296
[형사전문변호사] 김기윤 변호사의 형사사건 성공사례
대한변호사협회가 인정한 형사전문변호사의 성공사례 안녕하세요. 대한변호사협회에서 인정한 '형사전...
blog.naver.com"
코로나 구상권 청구,"파견직으로 아르바이트 나갔다가..제가 확진판정을 받아서 회사가 2주동안 코로나 자가격리에 들어갔습니다.
문제가 되는건 제가 일하는동한 마스크를 미착용햇는데요(회사 내에서만 마스크 미착용) 다른직원분들도 마스크 착용안하셧는데 제가 확진(양성)판정을 받았다고 저한태 구상권을 청구한다고 하드라구요. 이럴경우는 구상권 청구금액이나  다른 제 피해 보상을  제가 다 해줘야되는게 맞는건가요?","안녕하세요. 로시컴-네이버 지식iN 상담변호사 김기윤 입니다.
A. 코로나에 걸린 직원에게 손해배상청구를 하더라도 그 직원의 귀책사유인 고의나 과실이 인정되어야 손해배상청구가 가능합니다.
코로나에 걸린 것을 알고도 마스크를 안써서 감염시킨 경우라면 고의가 인정될 수 있겠지만, 그런 경우가 아닌 이상 귀책사유를 입증하기 어려울 것으로 보입니다.
코로나에 걸릴 가능성에 대해 알지 못했고 예상할 수도 없었음을 주장하셔서 손해배상청구에 대항하실 수 있을 것으로 보입니다.
구체적인 것은 문의주셔서 자세한 상담 받아보시길 권해드립니다. 추가로 문의가 필요하시면 연락주세요. 자세히 상담해드리겠습니다. "
중고나라 사기 피의자가 미성년자인데 어떻게 해야 하나요?,"중고나라에서 백화점 상품권을 구매하려다 약 80만원 가량 사기를 당했습니다.
경찰에 진정서 접수 후 범인을 잡았는데 중학생입니다. (촉법소년은 아님) 부모가 형편이 어려워 변제할 능력도 안 되고 변제하지 않겠다고 의사를 표했다고 합니다. 이런 경우에, 부모에게 손해배상 청구가 가능하다고 알고 있는데 전액 배상 받는 것이 가능할까요?

배상 받고 싶은 금액은 (원금 + 상품권을 이용하기 위해 백화점에 다녀온 기름값 + 민사소송에 든 비용 + 경찰서 왕복 교통비 )


-1)손해 배상 청구 소송을 해야 하는지 금액이 소액이라 소액 소송을 해야 하는지 조언 부탁드립니다.

-2)배상명령신청을 부모에게 할 수는 없는 건가요?

-3)고소를 중학생, 부모 모두에게 해야 하는 것인지 부모에게만 해야하는 것인가요?
Ex) 배상명령 -중학생 , 손해배상 민사 소송 - 부모


-4)손해배상 청구 시 부모에게 전액 변제가 가능한지 궁금합니다.

마지막으로 소송 비용과 기간이 얼마나 걸리는지 , 채권 추심과 압류를 6개월 기다리지 않고 바로 진행할 수 는 없나요? (재산조회 비용과 압류 비용 역시 궁금합니다. )","안녕하세요. 로시컴-네이버 지식iN 상담변호사 김기윤 입니다.
A. 소액심판청구를 하시면 됩니다.
상대방과 상대방 부모에게 모두 청구하시는 것이 좋습니다.
전액이 인용될지는 부모의 감독의무위반에 따른 과실의 정도를 따져보아야합니다.
액수가 소액인 경우 민사소송이 아닌 지급명령으로도 가능합니다.
구체적인 것은 문의주셔서 자세한 상담 받아보시길 권해드립니다. 추가로 문의가 필요하시면 연락주세요. 자세히 상담해드리겠습니다. "
지인에게 돈을 빌려주려고 하는데 최소한에 어떤 조취를 해야할까요?,"질문대로 지인에게 돈을 빌려주려고 합니다
상대방은 머든지 다 작성해준다고 합니다
약 10년알앗고 제가 어려울때 도움도 주셧던 분입니다
그래도 혹시나라는게 잇잖아요
나중에 배짱이나 배째로 나올때 형사고소를 하게되면 돈을 돌려받을수잇는 최소한에 조치는 머가 잇을까요?
공증받은 각서같은거 한장잇으면 될까요? 각서가 된다면 꼭 들어가야할 내용은 머가 잇을까요?
아니면 다 필요없고 민사로 가야하나요? 민사간다면 도움될 사항이 머가잇을까요?
답변부탁드립니다","안녕하세요. 로시컴-네이버 지식iN 상담변호사 김기윤 입니다.
A. 확실한 방법은 담보를 제공받는 것이 제일 좋습니다.
제공할만한 담보가 없다면 연대보증인을 요구하시는 것도 좋습니다.
형사고소를 위해서는 상대방이 변제능력이 없거나 변제의사가 없음에도 돈을 빌려가는 사정이 있어야만 사기죄로 형사고소가 가능합니다.
민사소송을 위해서는 언제까지 갚을 것인지인 변제기와 변제기 까지의 이율, 변제기 이후 지연손해금에 대한 이율을 정확히 약정하시는 것이 좋습니다.
구체적인 것은 문의주셔서 자세한 상담 받아보시길 권해드립니다. 추가로 문의가 필요하시면 연락주세요. 자세히 상담해드리겠습니다. "
못받은돈 받는법좀 알려주세요,"현제 중장비를 운영하는 사람인데 작업후 철거사장에게 600만원가량 돈을 못받고있습니다.철거사장은 사업자는 내연녀이름으로 만들고 큰 공사후 인건비빼고는 다 지불하지않은채 파산신고하였습니다.다행히 저는 바지사장과 철거사장 두명을 민사소송에 넣어 판결을 받을수있었습니다.
현제 민사소송은 2년전 판결까지 났으며(600만원에 대해 받을때까지 년20%)그후 소식을 들어보니 본인이름으로 법인을 설립하여 아직까지 철거업에 종사하고있습니다.
돈은 변재할맘이 없어보이기에 앞으로 어떻게 받아야할지 고민스럽습니다.채무불이행자명부등재를 해야하나요?재산에대한 압류나 통장압류같은걸 하고싶은데 재산은 다 은닉해놨을거같고(민사소송때 저 말고 15명이나 더 걸었으나 다들 내연녀이름으로 걸어서 승소는 거의 저만 한걸로 알고있습니다)확실히 받을수있는 방법이 없을까요?","안녕하세요. 로시컴-네이버 지식iN 상담변호사 김기윤 입니다.
A. 승소하였으나 아직까지 변제가 안되고 있는 경우라면 강제집행을 고려하셔야 합니다.
채권추심이나 채권가압류를 통한 변제를 꾀하시는 것이 좋을 것 같습니다.
구체적인 것은 문의주셔서 자세한 상담 받아보시길 권해드립니다. 추가로 문의가 필요하시면 연락주세요. 자세히 상담해드리겠습니다. 
https://blog.naver.com/hopelawpasan/222130901299
채권추심 강제집행 변호사상담
(※ 변호사 김기윤은 ""김기윤법률사무소""의 블로그별명입니다.) 통장압류 보증금압류 월급압류 어떻게 하나...
blog.naver.com"
