제목,본문,답변
지급명령 이의신청후 납부,"미납금액이 있어 지급명령을 받았고 이의신청을 한 상태입니다.

이번달 안엔 전액 납부가 가능한 상태인데
이런경우 납부가 다 완료되면 소송이 다 마무리가 되는게 맞나요?

납부를 할 경우엔 미래신용정보에 연락을 해야 하나요
아님 미납금액이 있는 회사에 연락을 해야하나요?","지급명령에 이의를 하였다면 소를 제기한 것으로 되어 소송절차에 따라 재판이 있게됩니다.
이후 변제하면 청구를 기각하는 판결이 선고되나,
특별한 사정이 없는 한 소송비용은 피고(채무자)가 부담하게 될 것입니다."
형제간 금전 문제,"안녕하세요
헝제간에 금전문제가 있어 문의 드립니다. 차용증 이런건 전혀 없으며 통장으로 이체해준 내역만 있는데
이걸 이제 조금이라도 받을려고 하나
형은 줄 생각이 없습니다. 7천만원 정도 됩니다
소송까지 생각하고 있으며
받을수 있을지 문의드립니다",증여한 것이 아니라면 돌려 받을 수 있습니다.
차용증 효력,"올해 5월, 한달 전 투자목적으로 빌려 준 돈을 채무자가 갚으면서 세금으로 인해 허위 차용증을 요구해왔습니다.

금전거래가 없는 차용증이니까 걱정하지말라면서 차용증만 작성해주면 세금문제가 해결되어 돈을 갚을 수 있다고 계속 우기며 돈을 못 준다길래 어쩔 수 없이 허위 차용증을 작성해줬습니다.

그러면서 허위 차용증이란 각서는 따로 받지는 않았습니다. 상대방 말처럼 어차피 차용증에 적힌 금전의 거래가 상호간에 전혀 없는 종이쪼가리일뿐 법적효력이 없다고 생각했기 때문입니다.

근데 이걸 가지고 채무자가 돈을 달라며 차용증을 가지고 압박하고 있습니다. 금전거래 기록이 전혀 없는데 이 사람이 현금으로 줬다고 우긴다면 차용증이 법적 효력이 있을까요?

돈을 준 기록 받은 기록은 그 어디에도 없으나 차용증 작성은 인장까지 작성해줬습니다...

법정싸움이 예상되는데 이 경우 어떻게 해야할까요? 설마 제가 재판가면 지는 경우도 발생할 수 있나요?

다른 사람들은 걱정하지말라하는데 걱정되네요..","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
차용증 자체의 효력이라는 것은 없습니다.
금전을 빌린 것인지 여부에 대한 유력한 증거가 될 수 있습니다.
소송과정에서 상대방이 현금으로 금전을 빌려주고 차용증을 받았다고 주장하는데, 이에 적절한 대응방법이 없다면 패소할 위험이 큽니다.
상대방과의 기존거래 내역 등을 통해 차용증 작성경위에 대한 납득할 만한 설명을 해야 할 필요가 있을 것으로 보입니다."
민사소송 질문드립니다,가해자가 벌금형을 받아야 민사를 걸수있나요?,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
형벌인 벌금과 민사소송은 전혀 별개의 절차입니다.
민사소송은 형사절차와 별개로 소를 제기하면 됩니다."
중고 사기 배상명령신청,"몇달 전 2020년 11월에 사기를 당해서 신고해서 사기꾼이 재판 받았는데 배상명령신청 언제까지 할 수 있나요?
내공 100","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
피고인이 재판을 받고 있는 중이라면 변론이 종결될 때까지 배상명령을 신청할 수 있습니다."
학교폭력 피해자 민사소송 시기,"- 학교폭력 피해자 부모입니다. 금번4월에 사이버학교폭력으로 학폭위 조치결과를 받았지만 가해학생과 다시 학교를 다녀야하는 조치결과가 나왔습니다.

- 저희아이는 정신과 치료를 받는 중이고 정밀검사 결과 경증지적장애까지 판된된다고 하며 증상은 점점 심해지고 있다고 의사선생님 소견을 들었습니다.

- 대한법률구조공단에서 피해학생에 대한 법률구조가 있다하여 신청서를 제출 하려고 방문하니 직원분께서 웃으시면서(저희가 느끼기엔 비웃음과 거지취급 같이 모욕적이었습니다) 치료가 다끝나고 다시오라 합니다.

- 제가 알기로 학교폭력 인지후 부터 형사고소고발, 학폭위 개최신청, 민사소송 3가지를 동시에 진행할수 있는것으로 알고 있습니다. 치료가 언제 끝날지도 모르는 상황에서 다끝나고 오라는게 이해가 되지 않습니다만

- 손해배상 및 위자료에 관한 민사소송을 제기하는 시기가 현재시점이 아닌 언제 완치될지 모르는 시기를 기다리며 차후에 하는것이 맞는지 궁금합니다.

- 참고로 가해자측은 다수이며 가해자측 그누구도 단한번에 사과에 합의를 위한 연락조차 하지 않고 있는 상황입니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
손해배상을 구하는 민사소송은 언제든지 제기할 수 있습니다.
법률구조공단에서 그러한 태도를 보인 것은 아마도 현재 노동능력상실률 등 손해를 산정하기 위한 자료가 부족하다는 판단을 한 것이 아닌가 생각합니다.
어차피 법원을 통해 신체감정 등을 통해 손해는 확정될 것이니, 지금이라도 소를 제기할 수 있습니다."
교통사고 대물한도초과 소액소송?,차량을 판매하려고 중고차매매단에 가던도중에 사고가났습니다 그래서 실수리받지않고 미수선 처리를 받았어요 견적은 2700나왔구요 제과실20%해서 2100만원 지급되어야하는데 가해차주가 책임보험이라 대물한도가 2000밖에 되지않았습니다 렌트이용하여서 1900지급받았고 상대 보험회사에서 200만원의 차액은 개인소송으로 받아야될지싶다고 하네요 자차처리후 구상권청구는 제가 미수선처리를 받아서 어렵다고합니다 200만원의 소액도 민사소송후 가압류 가능한가요?,"200만원 소액도 당연히 민사소송을 제기할 수 있습니다.
가압류는 보전의 필요성이 부정될 수 도 있습니다."
구약식 배상금 받아내는법,"안녕하세요 며칠전 사기꾼 잡아서 사건결정결과가 왔어요 결정결과는 구약식이더라구요 그럼 벌금형으로 끝낸다는건데 문의를 해보니 구약식 같은 경우는 민사소송을 해야 배상금을 받을 수 있다더라구요,, 작은 돈이지만 너무 분해서 꼭 받아내고 싶은데 민사소송을 할려면 배보다 배꼽이 더 커지더라구요 돈 안들고 간단한 방법으로 피의자한테 피해보상을 받는 방법이 없을까요ㅜㅜㅜㅜ도와주세요","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
금액이 명확하면 지급명령신청을 하시는 것을 고려해 보세요.
상대방이 이의를 제기하지 않아 확정되면, 그에 따라 강제집행을 할 수 있습니다."
인스타그램 명예훼손 성립 가능 여부,"제가 지인과 개인적인 다툼이 있었습니다
제 물건을 빌려갔는데 주지 않았고 그거때문에 말다툼을 하다가 서로 인스타그램에 저격을 했습니다
저는 저격이라기보단 그 사람이 올린 내용에 반박하는 형식으로 글을 올렸고,
그 사람은 제 개인적인 이야기들을 올렸는데
제가 개인사정때문에 자해를 했는데 그 대화내용을 올리면서 미친년아, 스토리만 봐도 얘도 보통 또라이는 아님 등 누가봐도 저인걸 알수있었고 제 욕을 했고 일방적으로 저에대한 심한 욕을 사람들이 다 보는 인스타그램 스토리에 올렸습니다 (개 정신병자년, 시발년, 소시오패스 등 입에 담을 수 없을만큼의 욕)
그리고 제가 하는 개인적인 일에 대해서도 스토리를 올렸는데 이것때문에 수치심이 너무 느껴지는데 고소 가능할지 여쭤보고 싶습니다","사실( 진실이라는 의미가 아니라 무슨 일이라는 의미)을 적시했다면 정보통신망법위반죄가 성립합니다.- 형법상 출판물에 의한 명예훼손죄와 형이 동일합니다.
사실이 아니라 모요적인 말 등을 하였다하더라도 공연성이 인정되어 모욕죄가 성립할 것으로 보입니다."
답변서에 대한 반박을 하고 싶을때 무슨 서류를 보내야 하나요?,"공금횡령을 한 사람에게 매달 얼마씩 갚겠다는 차용증을 받았는데 돈을 갚지않아 민사소송을 걸었습니다 답변서가 왔는데 내용이 맞지 않아 반박하는 내용을 적어 보내려고 하는데요 이럴 경우엔 저도 답변서?를 적어 제출해야하나요 뭐라고 불러야 하는건지;;
답변서처럼 가나다 식으로 정리해서 법원에 보내면 되는건지 궁금합니다 소액이라 가능하면 제가 적어서 보내려고 합니다 지식인 분들 답변 부탁드려요 ㅠㅠ","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
준비서면이라는 형식의 서면을 제출하면 됩니다.
서면의 형식은 인터넷에서 찾아볼 수 있을 것입니다."
