제목,본문,답변
이혼조정 시 쌍방의 재산 공개 가능한가요,이혼 조정에서 재산명시명령을 판사에게 제출하고 재산을 보지 않고는 조정에 임하지 않겠다라고 하면 된다고 들었습니다 반면 조정 단계에서는 상대의 자산을 명확하게 파악하기 어렵다고 하는 이야기도 들었고요 어느 쪽이 맞는지 혼동됩니다전자를 바라고 있는데 재산명시명령은 별도의 양식에 작성하여 제출하는 것인지 첫 조정에서 의사표현을 하게 되는 것인지 궁금합니다관련태그 이혼 조정화해중재, 노경희 법률사무소  노경희 변호사 변호사 프로필보기  더 많은 변호사 답변 보기 질문글 원문 링크  클릭이혼전문변호사 노경희입니다말씀하신 내용대로 이혼조정신청시 당사자간 이혼조정이 어려운 상황이라면소송으로 전환하여 향후 재판을 진행될 가능성이 크다고 판단됩니다물론 소송으로 전환시 법원의 금융거래정보 제출명령 및 재산명시명령를 통해배우자의 재산내역을 확인할 수가 있겠습니다귀하의 경우 우선 배우자의 재산내역을 확인한 뒤 조정에 임하겠다는 취지의 답변서를 제출하시되재산명시신청서도 첨부하시는 게 좋겠습니다다만 사전에 전문가의 조력을 구하시기 바랍니다상세한 상담이 필요하시면 가까운 변호사 사무실을 직접 방문하실 것을 권해드립니다노경희 변호사 드림 지식 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다 로톡은 법무법인이나 법률사무소가 아니며 법률사무를 제공하지 않습니다 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접 독립적으로 수행합니다변호사와 의뢰인을 더 가까이 로톡
상가 명도 전략 상의드리고 싶습니다,이번에 단층건물 상가를 구매하게 되었습니다하나의 세입자만 있는 건물인데 지난 2년간 수차례 임차료를 밀려서 매도자께서 명도후 잔금하는 조건으로 구입하였습니다 임차인분께서는 더 남아서 장사를 하기를 희망하십니다하지만 이 건물은 신축을 필수적으로 해야 하는 물건이어서 저는 1년 정도는 더 기다려 드릴 수 있지만 그 이상이 된다면 지금 명도되고 빈집으로 두는 것도 희망합니다임차인분은 2018년부터 장사를 하셨다고 하고 23년말 퇴실하는 것으로 화해조서를 쓰고 계약 1년 더 하자고 제의하니 위로금을 받고 싶다고 하십니다 이미 월세가 많이 밀려있는 상황이셔서 원칙대로 하면 22년 현재도 명도해 주셔야 하는 상황입니다 24년말 퇴실하면 이미 10년을 채우게 되십니다질문사항이번에 계약을 연장해 드려야 할까요 한다면 화해조서를 첨부해야 할 것 같은데 어떤 내용을 담아야 할지요24년말까지 채우고 나가실 경우 빠른 명도를 위해서 이번 계약 연장시 특약에 추가할 문구 뭐가 있을까요 미리 대비할 수 있는 것은 무엇이 있을까요관련태그 건설부동산 임대차 조정화해중재, 수앤인 합동법률사무소  박수진 변호사 변호사 프로필보기  더 많은 변호사 답변 보기 질문글 원문 링크  클릭1 원칙대로 하면 22년 현재도 명도해 주셔야 하는 상황이라면 명도 소송을 제기하시고 판결로 내 보내실 계획을 세우시는게 좋겠고 소송 중 합의도 가능하므로 명도소송이 가장 좋은 방법이라 생각됩니다2 소송을 원하지 않으시면 귀하가 원하는 조건을 제시하시고 상대방이 동의하면 합의가 되는 것이므로 이 합의된 내용을 제소전 화해나 화해조서의 형태로 만들어 두시는 것이 좋겠습니다25년차 변호사부동산 전문로펌 10년 근무 지식 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다 로톡은 법무법인이나 법률사무소가 아니며 법률사무를 제공하지 않습니다 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접 독립적으로 수행합니다변호사와 의뢰인을 더 가까이 로톡
대여금 소송 후 합의에 대해 질문드립니다,대여금 문제로 제가 민사소송을 걸었고 최근에 그 상대방이 소장을 송달 받으면서 상대방 측에서 돈을 갚겠다고 연락이 와서 합의를 하려고 합니다이제 제가 소장을 작성할 때 가에 원금 나에 소송비용은 피고가 부담한다 라는 조항을 적었었는데요 상대방이 원금뿐만이 아니라 소송에 들어간 비용까지 전부 합한 금액을 요구해도 문제 없는 건가요들어간 소송비용에는 인지대와 송달료 기타 서류작업 때 들어간 비용밖에 없습니다관련태그 대여금 민사소송절차 조정화해중재, 법무법인 명재  서영교 변호사 변호사 프로필보기  더 많은 변호사 답변 보기 질문글 원문 링크  클릭1 통상 소장을 작성할 때는 원금과 이자 지연손해금 소송비용 등을 함께 청구합니다2 상대방 측에서 돈을 갚겠다고 하여 합의를 하고자 하신다면 우선 합의 내용에 소송비용까지 포함할 것인지에 대한 이야기도 함께 해보셔야 합니다 인지대와 송달료 등 기타 소송진행을 하면서 발생한 비용이 있다면 이 또한 합의금에 포함시키는 것이 맞다고 보여집니다3 합의서를 작성한 후에 소를 취하하셔도 무방하니 합의서를 먼저 작성하시기 바랍니다4 합의서는 되도록 정확히 작성하는 것이 좋습니다 합의서 작성 시에 변호사의 도움을 받으시는 것을 추천드립니다저희 법인은 사무장 없이 담당변호사가 직접 상담하며 처음부터 끝까지 사건을 수행하고 있습니다의뢰인의 복잡하고 스트레스 받는 사건을 덜어드리고자 의뢰인의 편에 서서 냉철한 판단을 통해 내 일처럼 처리해드립니다 지식 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다 로톡은 법무법인이나 법률사무소가 아니며 법률사무를 제공하지 않습니다 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접 독립적으로 수행합니다변호사와 의뢰인을 더 가까이 로톡
형사 조정위원회에서 합의가 안된다면 민사 소송도 생각중이라는 이야기를 하는게 협박죄인가요,조정위원회를 통해 형사사건에 대해 합의를 하게 되었는데 가해자와 합의가 잘 안될 경우 저는 민사 소송을 통해 손해배상을 청구할 생각입니다이 경우에 상대에게 합의가 잘 이루어지지 않는다면 민사 소송을 통해 손해배상 청구 받을 생각이 있다 라고 이야기하면 협박죄가 성립되거나 해서는 안되는 말인가요실제로 합의가 잘 이뤄지지 않는다면 민사소송을 하겠지만 가능하다면 지금 합의 단계에서 빠르게 끝내고 싶습니다어떤식으로 상대에게 전달하는 게 좋을까요관련태그 손해배상 조정화해중재 폭행협박, 법무법인 인화  김명수 변호사 변호사 프로필보기  더 많은 변호사 답변 보기 질문글 원문 링크  클릭형사사건에 대한 조정위원회에서 질문자께서 생각하시는 정도의 말합의가 이루어지지 않는다면 민사소송을 통해서 손해배상을 청구하여 받을 생각이 있다은 협박죄를 구성하지는 않을 것으로 보입니다 피해자로서 충분히 그러한 정도의 말은 할 수 있습니다 다만 이러한 말을 여러 번에 걸쳐서 지속적으로 하거나 가해자에게 문자나 카톡메시지 등을 통하여 반복적으로 보내는 것은 결코 좋지 않으므로 1번 정도만 말하시기 바랍니다 그리고 형사절차를 통한 해결가능성은 형사사건에 대한 제1심 재판까지 지켜보시는 것이 좋을 것 같습니다 형사사건이 1심까지 진행되어 선고기일이 잡힌 상황에서도 가해자와 사이에서 합의가 안되면 그 때 가서 민사소송을 제기해도 늦지는 않을 것입니다참고하시기 바라며 추가적인 상담을 원하신다면 연락주시거나 관련자료를 지참하시어 사무실을 방문하여 주시기 바랍니다공증인가 법무법인 인화의 구성원변호사이며 사법연수원 출신의 19년차 변호사입니다 항상 의뢰인의 입장에서 최선을 다 해서 조언해 드리도록 하겠습니다 지식 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다 로톡은 법무법인이나 법률사무소가 아니며 법률사무를 제공하지 않습니다 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접 독립적으로 수행합니다변호사와 의뢰인을 더 가까이 로톡
조정기일 일방적인 거부시 진행절차 궁금합니다,한쪽이 무조건 조정안해의 입장이면중재안을 주신다거나 뭐 그런지 궁금합니다나름 상대방 청구금액 다 줘도 무조건 안해로 일관할것같아서 걱정이 크네요조정위원이 한번 생각 하시죠 정도밖엔 못해주시겠죠원하는 돈 다줘도 형사합의만 얹어주면 좋겠다싶은정도인데요저쪽이 무조건안해로 일관할때 특별히 제가 더 해볼수있는 정식적인 절차가 있긴할까요 궁금합니다관련태그 조정화해중재, 법률사무소 나란  서지원 변호사 변호사 프로필보기  더 많은 변호사 답변 보기 질문글 원문 링크  클릭민사사건에서의 조정기일은 법원에서 어느 정도의 조정성립 가능성이 있을 경우 진행이 됩니다 조정기일에는 조정위원 또는 판사님께서 양측 당사자를 불러 조정을 진행하시고 양측이 서로 어느 정도 받아들일 수 있는 조건을 제시하며 조율을 하기 때문에 조정이 이루어지지 않을 것이라고 단정할 수는 없습니다또한 조정기일에 출석을 하게 되면 당사자로서의 의견을 구두로 직접 전달할 수 있으며 재판에 다소 영향이 미칠 것으로 예상되고 법원에서 지정한 기일에 출석하지 않게 되면 재판부의 심증에 영향을 줄 수 있는 바 조정성립 여부 또는 상대방 출석 여부와 상관없이 본인이 지급할 수 있는 최대한의 금액과 조건을 정하신 뒤 조정기일에 참여하시는 것이 당사자에게 도움이 될 것으로 보입니다만약 조정이 불성립할 경우 법원은 화해권고결정으로 당사자의 의사를 타진할 수 있습니다 이는 법원의 권고에 불과하여 구속력이 없으므로 화해권고결정의 내용에 동의할 수 없는 당사자는 14일이내 이의신청을 할 수 있습니다 이의신청을 하게 되면 화해권고결정의 효력은 더 이상 발생하지 않고 다시 변론절차로 회귀하게 됩니다혹 추가적인 문의사항이 있으시다면 언제든 편하게 제게 연락 주시면 보다 더 자세한 상담 드리겠습니다 감사합니다 지식 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다 로톡은 법무법인이나 법률사무소가 아니며 법률사무를 제공하지 않습니다 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접 독립적으로 수행합니다변호사와 의뢰인을 더 가까이 로톡
조정당일 실제 절차 궁금합니다,저는 손배소 피고이고 형사기소를 근거로 하였기에 확연히 불리한정황입니다해서 조정의사를 밝혔고 원고는 조정을 원치않는태도였으나판사님이 조정하시죠 해서 변론종결 및 조정날이 잡혔습니다1 서울서부지법 421호로 잡혔는데 판사님이 나오시나요 조정위원님이나오시나요2 조정조건은 제가 먼저 말하나요3 제가 원하는 조정조건이 담긴 문건을 들고가도되나요4 소요시간은 얼마로 예상하면 될까요5 적당한 조정안을 판사님이나 조정위원님이 먼저 제시하시기도하시나요6 원고가 불출석 2회하거나 무조건 조정안해라고 힌다면 선고때 이게 제쪽으로 조금이라도 유리하게 작용할까요7 조정당일 가서 조정조건외에 발언기회가 있나요조정이 치음이라 궁금한게많습니다 감사합니다관련태그 조정화해중재, 법무법인 다산  김춘희 변호사 변호사 프로필보기  더 많은 변호사 답변 보기 질문글 원문 링크  클릭1 판사님이 나오실 수도 있고 조정위원님이 나오실 수도 있습니다2 판사님이나 조정위원님이 양 당사자의 의견을 차례로 듣고 둘 간의 격차를 좁히는 방향으로 조정을 시도할 것입니다3 사전에 조정의견서를 작성하여 조정기일에 들고 가도 상관없습니다4 소요시간은 조정의사 조정가능성 등에 따라 달라질 수 있습니다5 판사님이나 조정위원님이 양 당사자의 의견을 청취하고 나서 적절한 조정안을 먼저 제시하실 수도 있습니다6 일방이 조정에 불응한다고 해서 상대방에게 바로 유리하게 작용한다고 볼 수는 없습니다7 조정에 임하는 입장이나 의견을 밝힐 수 있으나 조정은 기존 주장을 반복하는 자리가 아니므로 주로 판사님이나 조정위원님의 질문이나 요청의 취지를 잘 이해하고 그것에 대해 충실하게 답변하시면 됩니다 지식 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다 로톡은 법무법인이나 법률사무소가 아니며 법률사무를 제공하지 않습니다 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접 독립적으로 수행합니다변호사와 의뢰인을 더 가까이 로톡
게임롤중 성패드립욕설고소 후 형사조정연락이 왔습니다,게임롤중 성패드립욕설을 듣고 고소 후 사건이 검찰송치되어 검찰청 형사조정위원회의 조정의사 여부 연락을 받았습니다일단 조정 의사가 있다고 답변하고 조정일자가 잡혔는데 이걸 통해 어떤식으로 피해회복에 도움을 받을 수 있는지 모르겠습니다통상의 합의처럼 현금으로 합의금을 받는방식인가요합의금을 받는거라면 어느정도를 받아야 적정한 선에서 합의를 마칠 수 있나요로톡 상담에 해당할만한 내용인지는 모르겠으나 고소경험이 전무하여 조언이 필요합니다욕설 수위는 제 게임닉네임 따먹고싶다 니네 엄마 내 책상 아래있어 등의 욕설입니다관련태그 조정화해중재, 법률사무소 필승  김준환 변호사 변호사 프로필보기  더 많은 변호사 답변 보기 질문글 원문 링크  클릭안녕하세요 법률사무소 필승의 김준환 대표변호사입니다상담글 남겨주셔서 감사드리며 문의 주신 사항에 대하여 답변드리겠습니다1형사조정에 대하여형사조정은 피의자의 혐의가 인정될 가능성이 높은 경우 자주 진행이 됩니다 일반적으로 형사조정은 가해자와 피해자가 한자리에 모여 진행되지만 의뢰인님과 같이 대면을 원치 않으시다면 분리하여 진행하는 것을 요구하실 수도 있습니다조정위원들은 가해자와 피해자의 합의 의사를 확인하고 양측이 합의 의사가 있다면 합의금을 조율하는 역할을 합니다 다만 합의 여부 및 합의금액의 결정은 전적으로 피해자인 의뢰인님의 의사에 따라 판단을 하셔야 합니다한편 형사조정 및 합의진행의 경우 의뢰인님께서 상대방과 직접 연락을 하며 진행하는 것은 큰 스트레스일 것입니다 따라서 상대방과의 합의진행 및 합의금조율을 위하여다양한 형사 합의 사건들을 성공적으로 진행한 경험이 있는 변호사를 통하여 형사 조정 및 합의를 진행하실 것을 권해드립니다2민사소송에 대하여한편 만일 합의나 조정이 성사되지 않는다면 민사상 불법행위 손해배상청구를 제기할 수 있으며 민사소송은 서면작성재판진행 등의 절차를 어떻게 진행하는지에 따라 판결 결과에 차이가 있을 수 있으므로 이역시 다양한 민사 손해배상청구를 진행한 변호사를 통하여 신중히 진행하실 것을 권해드립니다법률사무소 필승대표변호사 김준환 드림김준환 대표변호사는의뢰인님들이 직접 작성하신1060건 이상의 상담 후기로 전문성과 실력이확실히 검증된 변호사입니다단 한명의 사무장과도 업무를 진행하지 않으므로 모든 절차를 변호사가 직접 꼼꼼하고 안전하게 진행합니다사무장 수수료가 전혀 존재하지 않아거품없는 비용으로 최고의 서비스를 제공합니다 지식 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다 로톡은 법무법인이나 법률사무소가 아니며 법률사무를 제공하지 않습니다 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접 독립적으로 수행합니다변호사와 의뢰인을 더 가까이 로톡
형사 조정에 관한 문의,고용주로 부터의 폭행으로 인해 5주 진단의 상해를 입은 피해자입니다 지난 1월에 있었던 사건인데 이달 초 검찰에 송치되어 오늘 검찰로 부터 형사조정을 권하는 전화를 받았습니다저는 가해자로 부터 2개월이 넘는 시간 동안 사과는 커녕 아무런 소식도 듣지 못하던 와중에 가해자가 형사 조정을 원한다는 의견을 전달 받았습니다이런 현실이 처음이고 지식이 전무하다 보니 합의금 적정 수준도 궁금하고 어떻게 대처해야 할 지 궁금하여 문의 드립니다관련태그 조정화해중재 폭행협박,  법률사무소  이동규 변호사 변호사 프로필보기  더 많은 변호사 답변 보기 질문글 원문 링크  클릭1 절대적인 합의금이라는 것은 없지만 보통 주수에 따라 합의금을 책정하기는 합니다 이러한 합의절차에 피해자가 직접 나서기는 쉽지 않으니 가급적 변호사를 대동하여 진행하시는것이 좋습니다2 5주 진단이 나온것으로 보았을 때 상해의 정도가 심할 것으로 보입니다 따라서 형사합의를 하실 때에 가급적 민사적으로 피해를 보신 부분까지 한꺼번에 합의를 보시는 것이 좋습니다3 구체적인 상담 원하시면 언제든지 연락주세요 지식 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다 로톡은 법무법인이나 법률사무소가 아니며 법률사무를 제공하지 않습니다 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접 독립적으로 수행합니다변호사와 의뢰인을 더 가까이 로톡
형사합의조정 중간에 취소할수있는지 문의드립니다,과거에 제 실명과 특정 성기부위를 언급하며 조롱한 가해자를 고소하였고 혐의가 인정되어 검찰송치되었습니다가해자의 반성하는 태도와 사과의 말을 믿고 형사조정합의절차에 응하였고4월 1일까지 합의금 70만원과 에 사과문을 게시하는 조건으로 합의해주기로 약속하였습니다합의금은 정상지급되었으나 에 올린 사과문은 반성문이라고 써있으나 위대하신 ㅇㅇㅇ님께 제가 감히 욕을 하였습니다 반성합니다라는 식으로 장난끼와 비꼬는 의도가 섞인 사과문같지도 않은 사과문을 올렸습니다여태까지의 태도와 상반된 가해자의 모습에 합의하고 싶은 마음이 사라졌습니다 검찰에서 확인전화가 왔을때 합의금을 반환하는 조건으로 합의를 취소 할 수 있을까요또한 가해자가 초범이나 성인이고 성기부위가 언급된 모욕을 한 경우 재판에서 벌금형이 아닌 기소유예가 될 확률이 얼마나 될지도 궁금합니다관련태그 명예훼손모욕 성범죄 조정화해중재, 심앤이 법률사무소  심지연 변호사 변호사 프로필보기확인 전화를 기다리면 안 되고 빨리 담당 검사실에 연락해서 합의 의사를 철회하고 가해자에 대한 엄벌을 원한다는 것을 밝혀야 합니다가해자로부터 받은 합의금은 상대방 계좌를 안다면 바로 반환해버리는 것이 좋고 검사실에 반환내역까지 함께 제출해야 합니다만약 상대방 계좌를 모른다면 문자로 계좌를 알려달라고 통보하거나 검사실에 받은 합의금을 반환하려 한다는 뜻을 전달해야 합니다기소유예는 재판이 아니라 검사가 결정하는 것이기 때문에 만약 합의를 해주지 않으시면 가해자는 거의 확정적으로 벌금형 처벌을 받게 되고 기소유예는 받을 수 없습니다심앤이 법률사무소 대표변호사 심지연심앤이 법률사무소는 국내 최초의 유일의 성범죄 피해자 전문 로펌으로현재 국내에서 성범죄 피해자 고소대리 사건을 가장 많이 수행하고 있으며독보적인 전문성을 바탕으로 최상의 승소율을 자랑하고 있습니다 답변 변호사와의 상담을 원하신다면 변호사 프로필보기를 눌러보세요 변호사 프로필보기  클릭 지식 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다 로톡은 법무법인이나 법률사무소가 아니며 법률사무를 제공하지 않습니다 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접 독립적으로 수행합니다변호사와 의뢰인을 더 가까이 로톡더 많은 변호사 답변 보기213387
잘못된 조정을 파기하고 싶습니다,사문서 위조와 횡령 등 사기나 다름없는 대여금 문제로 피고 1과 피고 2와 세 차례 조정을 받았습니다 피고 1은 1억원이 넘는 채무가 있었고 피고 2는 몇백만원의 채무가 있었습니다위원장님의 계속된 권유로 피고 1의 채무 중 50 가까운 정도의 많은 금액을 깎아주며 두 번째 조정에서 이미 내용과 금액은 거의 확정됐습니다세 번째 조정에서는 큰 변화 없이 세부적인 부분만 조율했고 세 차례나 걸쳐 합의된 내용이기에당연히 의심의 여지없이 서명을 하고 조정이 끝났습니다조정이 끝나고 나오는데 피고 2가 조정 내용이 잘못된 거 같다고 저에게 알려줬고조정 내용을 다시 확인한 후 내용이 잘못 됐다는걸 알았습니다바로 다시 조정실로 가서 위원장님에게 연락을 했지만 소용이 없었습니다면밀히 확인하지 못한 제 잘못이 당연히 크지만 특별할 게 없었기에 조정 내용을 너무 당연하게 생각했었습니다근데 위원장님이 모두가 아는 내용을 왜 그렇게까지 바꿔서피고 1금액을 3000만원 더 깎음 작성했는지 전혀 이해가 안됩니다이런 식으로 조정이 될 줄 알았다면 세 차례나 조정을 받지도 않았을 겁니다조정이 잘못 되었다는 확실한 증거도 확보하고 있고 심지어 같이 조정을 받았던 피고 2 또한필요하다면 증인이 되어 준다고까지 합니다조정에 대해 항소나 이의 신청고소 파기 등 할 수 있는 방법이 전혀 없는건가요방법만 있다면 파기하고 피고 1에 대해 형사 고소를 진행 하고 싶습니다관련태그 재산범죄 조정화해중재, 서울종합법무법인  류제형 변호사 변호사 프로필보기 사무실 문의 전화 050772527701 조정실에서 최종 조정안을 모니터에 띄워서 확인시켰을 것입니다 이때 동의하셨다면 최종적인 의사로 의제되기 때문에 추후 이를 다시 문제삼기는 어렵습니다2 다만 임의조정이 아닌 강제조정안이었다면 추후 강제조정결정문이 송달될 것이고 2주내 이의할 수 있습니다서울종합법무법인 류제형 변호사입니다과다한 수임료를 요구하지 않습니다본인 또는 가족의 입장이 되어 사건을 직접 처리합니다 답변 변호사와의 상담을 원하신다면 아래의 사무실 연락처로 전화문의 하시거나 변호사 프로필보기를 눌러보세요 사무실 문의 전화 05077252770 변호사 프로필보기  클릭 지식 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다 로톡은 법무법인이나 법률사무소가 아니며 법률사무를 제공하지 않습니다 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접 독립적으로 수행합니다변호사와 의뢰인을 더 가까이 로톡더 많은 변호사 답변 보기212957
